馬公市,土地,安宅段361~390地號,1155.5,,一般農業區,農牧用地,1011013,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,4327,,0.0,0,,RPPNMLMJKIHFFAX68CA,澎湖县,7,265.51,不动产买卖
馬公市,土地,六合段211~240地號,865.3,,一般農業區,農牧用地,1011101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9620000,11118,,0.0,0,,RPQNMLPKJIHFFAX56DA,澎湖县,7,265.51,不动产买卖
馬公市,土地,六合段1~30地號,4.32,,鄉村區,乙種建築用地,1011112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,58752,13600,,0.0,0,西衛里中路協議價購（13600/m2）,RPQNMLQKJIHFFAX66DA,澎湖县,7,265.51,不动产买卖
馬公市,土地,文石段31~60地號,218.1,,一般農業區,甲種建築用地,1011011,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7800000,35763,,0.0,0,變更起造人含未來興建房屋建築費用,RPRNMLTKJIHFFAX07DA,澎湖县,7,265.51,不动产买卖
馬公市,土地,光華段691~720地號,185.16,,一般農業區,甲種建築用地,1011109,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1120000,6049,,0.0,0,,RPRNMLOJKIHFFAX56DA,澎湖县,7,265.51,不动产买卖
馬公市,土地,小池角段1141~1170地號,1105.32,,一般農業區,農牧用地,1011031,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3675000,3325,,0.0,0,,RPQNMLMJKIHFFAX78CA,澎湖县,7,265.51,不动产买卖
馬公市,土地,鎖港西段811~840地號,557.45,農,,,1011031,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,1076,,0.0,0,,RPRNMLMJKIHFFAX88CA,澎湖县,7,265.51,不动产买卖
馬公市,土地,北極段451~480地號,1027.48,農,,,1011026,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4630000,4506,,0.0,0,,RPVNMLKLJIHFFAX56CA,澎湖县,7,265.51,不动产买卖
馬公市,房地(土地+建物),澎湖縣馬公巿林森路45巷1~30號,20.28,住,,,1011024,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840904,114.23,3,2,2,有,無,4600000,40270,,0.0,0,,RPVNMLNKJIHFFAX76CA,澎湖县,7,265.51,不动产买卖
馬公市,房地(土地+建物),澎湖縣馬公巿敬業街1~30號,63.9,住,,,1011031,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700115,81.78,3,2,2,有,無,3680000,44999,,0.0,0,,RPPNMLRKJIHFFAX56CA,澎湖县,7,265.51,不动产买卖
馬公市,房地(土地+建物),澎湖縣馬公巿前寮31~60號,125.31,,鄉村區,乙種建築用地,1011027,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1010111,214.54,4,2,3,有,無,6320000,29458,,0.0,0,,RPRNMLPKJIHFFAX56CA,澎湖县,7,265.51,不动产买卖
馬公市,房地(土地+建物),澎湖縣馬公巿西文澳31~60號,70.78,住,,,1010919,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0700601,117.4,3,3,3,有,無,930275,7924,,0.0,0,親友、員工或其他特殊關係間之交易。;此案為二親等買賣,RPSNMLSLJIHFFAX07CA,澎湖县,7,265.51,不动产买卖
湖西鄉,房地(土地+建物),澎湖縣馬公巿鼎灣91~120號,216.29,,一般農業區,甲種建築用地,1011015,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0950315,187.4,6,3,5,有,無,4900000,26147,,0.0,0,,RPQNMLRKJIHFFAX66CA,澎湖县,7,265.51,不动产买卖
馬公市,土地,文石段1201~1230地號,163.37,,一般農業區,甲種建築用地,1011102,土地2建物0車位0,,,其他,,,,0.0,5,2,4,有,無,6800000,41623,,0.0,0,變更起造人，含未來興建房屋之建築費用。,RPRNMLOKJIHFFAX09CA,澎湖县,7,265.51,不动产买卖
馬公市,房地(土地+建物),澎湖縣馬公巿光復路154巷1~30號,61.56,住,,,1011110,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0650507,74.0,3,2,2,有,無,4600000,62162,,0.0,0,,RPSNMLPKJIHFFAX66CA,澎湖县,7,265.51,不动产买卖
馬公市,房地(土地+建物),澎湖縣馬公巿文光路42巷1~30號,70.0,住,,,1011109,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強空心磚造,0580420,90.64,3,2,2,有,無,3200000,35305,,0.0,0,,RPTNMLPKJIHFFAX76CA,澎湖县,7,265.51,不动产买卖
馬公市,土地,文石段1201~1230地號,163.37,,一般農業區,甲種建築用地,1011102,土地2建物0車位0,全,,透天厝,,,,0.0,5,2,4,有,無,6780000,41501,,0.0,0,變更起造人，含未來興建房屋之費用。,RPUNMLPKJIHFFAX86CA,澎湖县,7,265.51,不动产买卖
