金沙鎮,土地,浯坑劃測段391~420地號,164.0,農,,,1011102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,540000,3293,,0.0,0,,RPSNMLQLJIHFFAW76CA,金门县,8,317.95,不动产买卖
金城鎮,土地,金門城段91~120地號,124.0,住,,,1011017,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,9677,,0.0,0,,RPPNMLQLJIHFFAW09CA,金门县,8,317.95,不动产买卖
金城鎮,土地,金門城段1~30地號,32.0,住,,,1011017,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,3125,,0.0,0,,RPQNMLQLJIHFFAW56CA,金门县,8,317.95,不动产买卖
金湖鎮,土地,湖后劃段91~120地號,1000.0,農,,,1011029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,3500,,0.0,0,,RPQNMLMKJIHFFAW68CA,金门县,8,317.95,不动产买卖
金沙鎮,土地,北九十劃段631~660地號,1144.36,農,,,1011029,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,2010,,0.0,0,,RPQNMLPKJIHFFAW98CA,金门县,8,317.95,不动产买卖
金城鎮,土地,北一段121~150地號,1000.14,農,,,1011104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9500000,9499,,0.0,0,,RPPNMLLKJIHFFAW48CA,金门县,8,317.95,不动产买卖
金城鎮,土地,祥瑞段721~750地號,139.6,其他,,,1011101,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3980000,28510,,0.0,0,,RPPNMLTJJIHFFAW66DA,金门县,8,317.95,不动产买卖
金城鎮,土地,庵前劃測段931~960地號,43.01,農,,,1011106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,111000,2581,,0.0,0,,RPPNMLMKJIHFFAW68DA,金门县,8,317.95,不动产买卖
烈嶼鄉,土地,西方劃測段91~120地號,57.3,農,,,1011017,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,322026,5620,,0.0,0,國有土地購回,RPQNMLRJKIHFFAW66DA,金门县,8,317.95,不动产买卖
金湖鎮,土地,浦邊測段601~630地號,2126.16,其他,,,1011102,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4900000,2305,,0.0,0,,RPTNMLNKJIHFFAW09CA,金门县,8,317.95,不动产买卖
金城鎮,土地,舊金城段301~330地號,599.0,農,,,1011105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,810000,1352,,0.0,0,,RPSNMLPKJIHFFAW56CA,金门县,8,317.95,不动产买卖
金湖鎮,土地,農試所段91~120地號,5801.78,農,,,1011030,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17500000,3016,,0.0,0,,RPPPMLPKJIHFFAW09CA,金门县,8,317.95,不动产买卖
金沙鎮,土地,擎天段1381~1410地號,1220.0,農,,,1011102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,1148,,0.0,0,,RPQNMLQKJIHFFAW09CA,金门县,8,317.95,不动产买卖
金沙鎮,土地,高坑劃測段631~660地號,800.0,農,,,1011101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2700000,3375,,0.0,0,,RPUNMLPKJIHFFAW76CA,金门县,8,317.95,不动产买卖
金城鎮,土地,城隍廟段301~330地號,100.5,住,,,1011112,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,24876,,0.0,0,,RPUNMLNKJIHFFAW66DA,金门县,8,317.95,不动产买卖
金城鎮,土地,前山前段31~60地號,149.0,其他,,,1011107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,13423,,0.0,0,,RPRNMLLKKIHFFAW88DA,金门县,8,317.95,不动产买卖
金城鎮,土地,山前段751~780地號,1018.26,農,,,1011107,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,5892,,0.0,0,,RPSNMLLKKIHFFAW98DA,金门县,8,317.95,不动产买卖
金寧鄉,土地,機場段1201~1230地號,350.02,農,,,1011008,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,380000,1086,,0.0,0,,RPSNMLNKKIHFFAW56DA,金门县,8,317.95,不动产买卖
金寧鄉,土地,后垵段151~180地號,39.88,其他,,,1011103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,418740,10500,,0.0,0,,RPRNMLPKJIHFFAW56DA,金门县,8,317.95,不动产买卖
金沙鎮,土地,中蘭劃測段391~420地號,970.0,農,,,1011112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,2887,,0.0,0,,RPVNMLPKJIHFFAW96DA,金门县,8,317.95,不动产买卖
金沙鎮,土地,中蘭劃測段31~60地號,900.0,農,,,1011112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,3111,,0.0,0,,RPWNMLPKJIHFFAW07DA,金门县,8,317.95,不动产买卖
金沙鎮,土地,中蘭劃測段631~660地號,1959.98,農,,,1011106,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7700000,3929,,0.0,0,,RPSNMLLLJIHFFAW88CA,金门县,8,317.95,不动产买卖
金城鎮,土地,庵前劃測段721~750地號,600.0,農,,,1011106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2250000,3750,,0.0,0,,RPPNMLLLJIHFFAW58CA,金门县,8,317.95,不动产买卖
金城鎮,土地,庵前劃測段721~750地號,600.04,農,,,1011106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2250000,3750,,0.0,0,,RPQNMLLLJIHFFAW68CA,金门县,8,317.95,不动产买卖
金湖鎮,土地,峰上段751~780地號,66.0,其他,,,1011105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,561000,8500,,0.0,0,,RPQPMLPKJIHFFAW56CA,金门县,8,317.95,不动产买卖
金湖鎮,土地,峰上段781~810地號,188.0,其他,,,1011105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1598000,8500,,0.0,0,,RPRPMLPKJIHFFAW66CA,金门县,8,317.95,不动产买卖
金寧鄉,土地,后湖段181~210地號,1037.51,農,,,1011106,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,1349,,0.0,0,,RPSNMLQKJIHFFAW76DA,金门县,8,317.95,不动产买卖
金寧鄉,土地,后湖段61~90地號,997.95,農,,,1011106,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,1303,,0.0,0,,RPTNMLQKJIHFFAW86DA,金门县,8,317.95,不动产买卖
金寧鄉,土地,后湖段61~90地號,152.55,農,,,1011106,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,1311,,0.0,0,,RPUNMLQKJIHFFAW96DA,金门县,8,317.95,不动产买卖
金寧鄉,土地,后湖段91~120地號,418.77,農,,,1011106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,560000,1337,,0.0,0,,RPVNMLQKJIHFFAW07DA,金门县,8,317.95,不动产买卖
金寧鄉,土地,后湖段181~210地號,1122.26,農,,,1011106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1337,,0.0,0,,RPWNMLQKJIHFFAW17DA,金门县,8,317.95,不动产买卖
金寧鄉,土地,寧古劃段1381~1410地號,500.0,其他,,,1011024,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,675000,1350,,0.0,0,,RPRNMLPJKIHFFAW09CA,金门县,8,317.95,不动产买卖
金寧鄉,土地,寧湖二劃測段91~120地號,704.2,其他,,,1011017,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7042000,10000,,0.0,0,,RPQNMLNLJIHFFAW88CA,金门县,8,317.95,不动产买卖
金沙鎮,土地,中蘭劃測段841~870地號,725.05,農,,,1011105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,2483,,0.0,0,,RPPNMLKLJIHFFAW58DA,金门县,8,317.95,不动产买卖
金城鎮,土地,金城劃段271~300地號,1573.01,其他,,,1011101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16880000,10731,,0.0,0,,RPWNMLOJKIHFFAW96DA,金门县,8,317.95,不动产买卖
金城鎮,房地(土地+建物),金門縣金城鎮中興路146巷1~30號,39.11,商,,,1011029,土地1建物1車位0,一層，二層，三層,三層,店面(店鋪),住商用,鋼筋混凝土造,0710715,100.23,4,3,3,有,無,17000000,169610,,0.0,0,,RPQNMLRLJIHFFAW76DA,金门县,8,317.95,不动产买卖
金寧鄉,土地,盤山村段211~240地號,161.5,住,,,1011114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,9907,,0.0,0,,RPRNMLQLJIHFFAW66CA,金门县,8,317.95,不动产买卖
金湖鎮,土地,士校段91~120地號,1703.68,其他,,,1011025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5960000,3498,,0.0,0,,RPVNMLLLJIHFFAW56CA,金门县,8,317.95,不动产买卖
烈嶼鄉,土地,龍骨山測段961~990地號,255.93,其他,,,1011102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,1563,,0.0,0,,RPWNMLLLJIHFFAW66CA,金门县,8,317.95,不动产买卖
金沙鎮,土地,后宅測段1291~1320地號,660.89,其他,,,1011107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,2421,,0.0,0,,RPXNMLLLJIHFFAW76CA,金门县,8,317.95,不动产买卖
金沙鎮,土地,官嶼劃段331~360地號,1080.0,農,,,1011105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2780000,2574,,0.0,0,,RPPNMLMLJIHFFAW68CA,金门县,8,317.95,不动产买卖
金湖鎮,土地,太湖劃測段1231~1260地號,240.02,農,,,1011020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,636000,2650,,0.0,0,,RPSOMLNJKIHFFAW09CA,金门县,8,317.95,不动产买卖
金城鎮,土地,東紅山段481~510地號,553.36,其他,,,1011023,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,773000,1397,,0.0,0,,RPUNMLLKKIHFFAW09CA,金门县,8,317.95,不动产买卖
金湖鎮,房地(土地+建物),金門縣金湖鎮武德新莊121~150號,81.0,住,,,1010913,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0920423,201.0,5,3,3,有,無,8000000,39801,,0.0,0,,RPVNMLLKKIHFFAW56CA,金门县,8,317.95,不动产买卖
金寧鄉,土地,后湖段571~600地號,1108.59,農,,,1011115,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1450000,1308,,0.0,0,,RPQNMLMLJIHFFAW88DA,金门县,8,317.95,不动产买卖
金寧鄉,房地(土地+建物),金門縣金寧鄉頂堡61~90號,57.0,其他,,,1011021,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1010918,96.89,3,2,2,有,無,4580000,47270,,0.0,0,,RPXNMLNJKIHFFAW86CA,金门县,8,317.95,不动产买卖
金沙鎮,土地,后宅測段271~300地號,418.83,農,,,1011102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,586000,1399,,0.0,0,,RPQNMLOJKIHFFAW88CA,金门县,8,317.95,不动产买卖
金湖鎮,土地,中五劃段211~240地號,10.09,其他,,,1011005,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,36000,3568,,0.0,0,,RPQNMLKKKIHFFAW68DA,金门县,8,317.95,不动产买卖
金寧鄉,房地(土地+建物),金門縣金寧鄉頂堡61~90號,56.0,其他,,,1011020,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1010918,94.12,3,2,2,有,無,4580000,48661,,0.0,0,,RPUNMLNJKIHFFAW56CA,金门县,8,317.95,不动产买卖
金寧鄉,房地(土地+建物),金門縣金寧鄉頂堡61~90號,56.0,其他,,,1011016,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1010918,94.11,3,2,2,有,無,4300000,45691,,0.0,0,,RPVNMLNJKIHFFAW66CA,金门县,8,317.95,不动产买卖
金寧鄉,土地,東洲段511~540地號,792.76,農,,,1011107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,4793,,0.0,0,,RPUNMLOJKIHFFAW66CA,金门县,8,317.95,不动产买卖
金城鎮,土地,金門城段721~750地號,196.83,其他,,,1011107,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,570816,2900,,0.0,0,親友、員工或其他特殊關係間之交易。;叔侄買賣(以當期公告現值為成交價格),RPPNMLRLJIHFFAW66DA,金门县,8,317.95,不动产买卖
金寧鄉,房地(土地+建物),金門縣金寧鄉頂堡61~90號,62.94,其他,,,1011025,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1010918,111.98,3,2,2,有,無,5030000,44919,,0.0,0,,RPWNMLNJKIHFFAW76CA,金门县,8,317.95,不动产买卖
金沙鎮,土地,陽宅段391~420地號,358.58,農,,,1011029,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,502012,1400,,0.0,0,,RPRNMLOJKIHFFAW98CA,金门县,8,317.95,不动产买卖
金沙鎮,土地,陽宅段451~480地號,914.56,農,,,1011029,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1280384,1400,,0.0,0,,RPSNMLOJKIHFFAW09CA,金门县,8,317.95,不动产买卖
金沙鎮,土地,英坑段1081~1110地號,860.48,農,,,1011029,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1204604,1400,,0.0,0,,RPTNMLOJKIHFFAW56CA,金门县,8,317.95,不动产买卖
金寧鄉,土地,后垵段601~630地號,696.32,農,,,1011105,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,940000,1350,,0.0,0,,RPPNMLRKKIHFFAW56CA,金门县,8,317.95,不动产买卖
金城鎮,土地,小西門劃測段211~240地號,1358.03,農,,,1011113,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4700000,3461,,0.0,0,,RPRNMLNJKIHFFAW88CA,金门县,8,317.95,不动产买卖
